numSubProcesses,iteration number,init prep,sum amplitude,sum phaseVector,define BMP_sys,get colour scale,define pixel col,Process time,absolute calc totalTime
1,0,0.0156,1.30593,1.33032,0.351776,1.0658,0.000755,6541,6541
1,1,0.008541,1.22757,1.2513,0.289177,1.0211,0.000834,6169,6169
1,2,0.01347,1.25272,1.28259,0.018672,1.06008,0.000996,5687,5687
1,3,0.015048,1.21646,1.24477,0.018565,1.0613,0.001128,5551,5551
1,4,0.015597,1.20702,1.23728,0.017498,1.05652,0.00092,5509,5509
1,5,0.014564,1.20524,1.2341,0.0174,1.05264,0.000851,5490,5490
1,6,0.013423,1.19859,1.22603,0.017292,1.04955,0.000953,5471,5471
1,7,0.014656,1.22094,1.24974,0.017283,1.07041,0.000966,5600,5600
1,8,0.014342,1.20458,1.23135,0.017455,1.04915,0.000649,5477,5477
1,9,0.015214,1.21213,1.24085,0.019406,1.05911,0.001005,5525,5525
1,10,0.014687,1.21327,1.23616,0.017015,1.05601,0.000815,5512,5512
1,11,0.012518,1.19681,1.22204,0.017401,1.05186,0.001121,5472,5472
1,12,0.013981,1.21519,1.23695,0.017649,1.05726,0.000922,5534,5534
1,13,0.015686,1.23622,1.26879,0.017409,1.07019,0.001199,5661,5661
1,14,0.017473,1.22728,1.25195,0.018631,1.06412,0.000954,5578,5578
1,15,0.014373,1.20499,1.23742,0.017151,1.05553,0.000896,5509,5509
1,16,0.014567,1.20649,1.23636,0.016987,1.05698,0.000722,5502,5502
1,17,0.013029,1.19219,1.22263,0.016047,1.04766,0.000921,5461,5461
1,18,0.014531,1.20951,1.23707,0.017641,1.06679,0.00065,5564,5564
1,19,0.013569,1.19144,1.21544,0.015761,1.04381,0.00082,5430,5430
1,20,0.014894,1.20607,1.22833,0.015967,1.05724,0.000932,5497,5497
1,21,0.014856,1.20829,1.23867,0.017322,1.05195,0.000779,5502,5502
1,22,0.016817,1.23934,1.26596,0.019279,1.07112,0.000748,5640,5640
1,23,0.015497,1.2091,1.24151,0.018304,1.05966,0.000891,5528,5528
1,24,0.015137,1.23849,1.27115,0.019486,1.07915,0.000817,5670,5670
1,25,0.015234,1.21166,1.2447,0.016883,1.05819,0.000996,5537,5537
1,26,0.016977,1.23468,1.25973,0.020087,1.06677,0.000853,5605,5605
1,27,0.013959,1.22395,1.24894,0.019125,1.06363,0.002095,5566,5566
1,28,0.01427,1.20027,1.22814,0.017633,1.05335,0.000813,5488,5488
1,29,0.013295,1.20605,1.22925,0.017114,1.05402,0.000667,5490,5490
1,30,0.013813,1.2113,1.23809,0.018433,1.06307,0.00097,5546,5546
1,31,0.016167,1.20625,1.23747,0.019215,1.05502,0.000915,5502,5502
1,32,0.012771,1.1973,1.22503,0.018353,1.04776,0.001102,5463,5463
1,33,0.015201,1.20791,1.23484,0.018754,1.05731,0.000997,5514,5514
1,34,0.016157,1.2531,1.28867,0.021625,1.07892,0.001526,5722,5722
1,35,0.013491,1.21014,1.23659,0.017786,1.05843,0.000839,5538,5538
1,36,0.015121,1.23385,1.27263,0.018908,1.07325,0.000781,5637,5637
1,37,0.015029,1.19833,1.22657,0.018135,1.05319,0.000939,5475,5475
1,38,0.015295,1.20076,1.23082,0.01826,1.06404,0.000908,5502,5502
1,39,0.013959,1.18789,1.20736,0.016546,1.04805,0.000765,5436,5436
1,40,0.01392,1.19976,1.23337,0.017832,1.05394,0.00141,5484,5484
1,41,0.015016,1.20678,1.23297,0.017155,1.05098,0.001253,5505,5505
1,42,0.014616,1.20407,1.2343,0.017813,1.05793,0.000987,5503,5503
1,43,0.014142,1.21169,1.23953,0.018189,1.05916,0.000992,5529,5529
1,44,0.01549,1.20198,1.22992,0.018014,1.05461,0.000889,5485,5485
1,45,0.01398,1.20187,1.22985,0.017867,1.05058,0.00099,5478,5478
1,46,0.014871,1.20574,1.22762,0.016743,1.05473,0.000842,5475,5475
1,47,0.013757,1.21209,1.23638,0.017096,1.06137,0.000992,5548,5548
1,48,0.015692,1.2467,1.27597,0.01764,1.07038,0.00083,5666,5666
1,49,0.014768,1.20217,1.23055,0.017804,1.05831,0.001213,5498,5498
1,50,0.016237,1.22006,1.2431,0.018799,1.05915,0.000954,5553,5553
1,51,0.018836,1.31161,1.34957,0.327947,1.07578,0.00087,6534,6534
1,52,0.013883,1.2553,1.28514,0.283867,1.04896,0.001002,6288,6288
1,53,0.015549,1.21267,1.24241,0.020238,1.05668,0.000745,5516,5516
1,54,0.012829,1.19385,1.21975,0.016771,1.0434,0.000589,5439,5439
1,55,0.013588,1.21198,1.24615,0.017156,1.05277,0.001094,5518,5518
1,56,0.014946,1.20283,1.22768,0.016134,1.04432,0.001142,5446,5446
1,57,0.012732,1.19531,1.22208,0.016484,1.04141,0.001044,5436,5436
1,58,0.014369,1.20759,1.23645,0.016446,1.05323,0.001456,5498,5498
1,59,0.015139,1.19963,1.22863,0.018273,1.04778,0.001199,5460,5460
1,60,0.013497,1.20132,1.2318,0.016988,1.04911,0.001051,5454,5454
1,61,0.016993,1.21147,1.23849,0.017383,1.0535,0.000685,5510,5510
1,62,0.01633,1.21021,1.2426,0.016727,1.0568,0.001203,5522,5522
1,63,0.015252,1.19566,1.22766,0.017882,1.05031,0.001005,5460,5460
1,64,0.014909,1.23241,1.26334,0.01682,1.0674,0.000802,5614,5614
1,65,0.01208,1.21184,1.23783,0.01402,1.04065,0.000971,5488,5488
1,66,0.012923,1.21305,1.24226,0.01761,1.05221,0.000838,5533,5533
1,67,0.013984,1.20397,1.22954,0.017294,1.05031,0.001107,5474,5474
1,68,0.01634,1.23924,1.27029,0.017899,1.06586,0.000899,5643,5643
1,69,0.019057,1.28042,1.29489,0.021081,1.09751,0.004448,5755,5755
1,70,0.013666,1.2129,1.2388,0.016344,1.05476,0.000822,5509,5509
1,71,0.015765,1.19168,1.21954,0.015592,1.04608,0.000776,5432,5432
1,72,0.014125,1.2021,1.2334,0.016693,1.04554,0.000776,5465,5465
1,73,0.017524,1.22167,1.25423,0.019228,1.06224,0.001265,5566,5566
1,74,0.014249,1.19525,1.22185,0.015677,1.0422,0.001021,5424,5424
1,75,0.014751,1.21714,1.25573,0.018137,1.0614,0.000774,5568,5568
1,76,0.01326,1.18786,1.21397,0.017308,1.03515,0.001192,5397,5397
1,77,0.014967,1.21162,1.24153,0.018173,1.05502,0.00117,5508,5508
1,78,0.019594,1.23628,1.27613,0.02076,1.07631,0.0012,5633,5633
1,79,0.01365,1.21189,1.24493,0.015957,1.03857,0.00059,5516,5516
1,80,0.013997,1.19787,1.22812,0.017338,1.03958,0.001126,5437,5437
1,81,0.015946,1.21348,1.25273,0.016691,1.06166,0.001031,5564,5564
1,82,0.013749,1.19351,1.23033,0.018633,1.04474,0.000993,5447,5447
1,83,0.013215,1.19365,1.22078,0.017447,1.04484,0.001216,5432,5432
1,84,0.017305,1.25378,1.29229,0.017382,1.06549,0.000929,5680,5680
1,85,0.013851,1.20663,1.24116,0.019571,1.04787,0.001029,5498,5498
1,86,0.015954,1.20754,1.24056,0.018522,1.05048,0.001068,5493,5493
1,87,0.014142,1.20572,1.23136,0.016307,1.04497,0.001153,5479,5479
1,88,0.015194,1.21117,1.2445,0.017916,1.05652,0.000841,5519,5520
1,89,0.012803,1.1993,1.22502,0.018431,1.04822,0.001131,5483,5483
1,90,0.014068,1.20903,1.24575,0.016653,1.055,0.000847,5526,5526
1,91,0.013561,1.18789,1.21704,0.019096,1.03998,0.001463,5414,5414
1,92,0.015049,1.20341,1.23166,0.017852,1.04193,0.000896,5455,5455
1,93,0.014791,1.22728,1.26266,0.020804,1.06594,0.00117,5614,5614
1,94,0.017697,1.22168,1.2522,0.019988,1.05867,0.001113,5558,5558
1,95,0.017909,1.26186,1.29639,0.020477,1.06884,0.00116,5723,5723
1,96,0.015791,1.25136,1.28763,0.021334,1.0549,0.001053,5679,5679
1,97,0.011771,1.18514,1.2135,0.015333,1.01362,0.001098,5391,5391
1,98,0.012047,1.1981,1.22584,0.017045,1.02093,0.000782,5445,5445
1,99,0.019452,1.36911,1.40617,0.023048,1.10278,0.001524,6148,6148
1,100,0.013943,1.25747,1.29226,0.01837,1.06117,0.000924,5703,5703
2,0,0.044298,1.03396,1.09055,0.401621,0.838979,0.000456,4737.5,4750
2,1,0.044424,1.04725,1.10327,0.413865,0.843776,0.0004095,4777,4804
2,2,0.0450275,1.02153,1.08206,0.0109395,0.796944,0.0004015,4240,4257
2,3,0.0398865,0.993403,1.04902,0.0133145,0.767827,0.0003315,4135,4152
2,4,0.052057,1.04872,1.10685,0.039754,0.825596,0.0009895,4357,4388
2,5,0.050317,1.03987,1.09987,0.059706,0.817287,0.001186,4355.5,4377
2,6,0.050302,1.04298,1.1018,0.025362,0.818623,0.0008295,4323,4328
2,7,0.050276,1.03908,1.09978,0.0111325,0.809489,0.0004105,4284.5,4290
2,8,0.04555,1.0235,1.08551,0.0096775,0.796331,0.000608,4236.5,4244
2,9,0.068991,1.09678,1.16323,0.015157,0.865356,0.0006285,4521.5,4559
2,10,0.0768585,1.09487,1.14599,0.0108525,0.937733,0.000431,4553.5,4580
2,11,0.058419,1.08707,1.14975,0.011672,0.854119,0.000593,4460,4468
2,12,0.0506465,1.03365,1.09595,0.010272,0.817048,0.000374,4288.5,4317
2,13,0.0514205,1.04455,1.10658,0.0093475,0.818852,0.0003715,4320,4328
2,14,0.0442515,1.01877,1.07811,0.010636,0.794433,0.0004755,4222.5,4233
2,15,0.0470025,1.02748,1.09932,0.0103535,0.803473,0.0005495,4271,4272
2,16,0.04693,1.03181,1.09126,0.0102005,0.806397,0.0006375,4264.5,4266
2,17,0.044973,1.02109,1.08615,0.0098465,0.798744,0.0004995,4234.5,4236
2,18,0.0485715,1.03862,1.09693,0.0100445,0.810774,0.000497,4280.5,4283
2,19,0.045793,1.01815,1.07939,0.009952,0.802508,0.0006145,4226.5,4231
2,20,0.0485225,1.03308,1.09738,0.0094045,0.809029,0.000547,4279,4288
2,21,0.045843,1.02488,1.08591,0.0105445,0.799218,0.0004265,4242.5,4268
2,22,0.044535,1.00956,1.07542,0.0096525,0.788741,0.000385,4193.5,4209
2,23,0.048242,1.03061,1.08983,0.010914,0.811887,0.000496,4268,4280
2,24,0.045546,1.01907,1.08375,0.0109705,0.794691,0.000595,4232,4238
2,25,0.046884,1.02586,1.08568,0.0103795,0.802137,0.000516,4241.5,4246
2,26,0.0446275,1.02284,1.09192,0.0103735,0.801635,0.0004405,4246,4257
2,27,0.045438,1.02727,1.09061,0.0100915,0.796844,0.000607,4248.5,4251
2,28,0.049303,1.04035,1.09761,0.009776,0.814599,0.0005135,4287,4299
2,29,0.0464965,1.02144,1.07776,0.0101365,0.794146,0.0004895,4224.5,4235
2,30,0.0493785,1.03598,1.10509,0.01048,0.816126,0.000455,4296.5,4305
2,31,0.0449235,1.01055,1.07231,0.0095605,0.793725,0.0004915,4203,4205
2,32,0.045327,1.02001,1.07858,0.010501,0.793535,0.0005075,4217,4225
2,33,0.050521,1.03547,1.09349,0.0100865,0.808194,0.000476,4272,4297
2,34,0.0467265,1.02937,1.08749,0.009037,0.803863,0.0003775,4248.5,4255
2,35,0.050038,1.04839,1.10421,0.0096215,0.816817,0.000559,4312,4322
2,36,0.050202,1.0377,1.09926,0.009959,0.810816,0.000737,4288,4298
2,37,0.052681,1.0507,1.11287,0.011657,0.830061,0.0008275,4339,4344
2,38,0.046718,1.0209,1.07956,0.009814,0.800349,0.0004575,4227,4238
2,39,0.046757,1.0252,1.08448,0.0104655,0.80174,0.0006165,4245,4256
2,40,0.048408,1.04527,1.09923,0.0112015,0.814083,0.0007525,4298.5,4301
2,41,0.044812,1.02251,1.08017,0.010733,0.796159,0.000613,4232,4242
2,42,0.0462045,1.01939,1.08652,0.010075,0.801737,0.0004165,4232.5,4237
2,43,0.052871,1.04086,1.10665,0.010422,0.816393,0.000474,4306.5,4318
2,44,0.0459745,1.02504,1.08129,0.0101165,0.794936,0.0005455,4233,4234
2,45,0.046155,1.02034,1.08065,0.010074,0.798901,0.0005125,4226.5,4228
2,46,0.0444865,1.0182,1.08321,0.010247,0.795695,0.000341,4222,4233
2,47,0.044644,1.01597,1.08077,0.0104335,0.79726,0.0005355,4226,4227
2,48,0.045801,1.0202,1.08797,0.009689,0.799497,0.0004515,4240.5,4244
2,49,0.0478035,1.03063,1.08425,0.0111785,0.806501,0.0008175,4256,4291
2,50,0.048871,1.03477,1.09708,0.0099835,0.807726,0.0004895,4278.5,4292
2,51,0.0543865,1.05175,1.1148,0.010664,0.831927,0.000455,4349,4351
2,52,0.0506735,1.03917,1.09687,0.010453,0.813541,0.0004695,4289.5,4291
2,53,0.0455815,1.01738,1.08261,0.0103965,0.800059,0.0005945,4225.5,4237
2,54,0.0485735,1.03115,1.09104,0.0102775,0.809554,0.000361,4260,4264
2,55,0.043391,1.01935,1.07504,0.009557,0.792202,0.00054,4211,4220
2,56,0.045005,1.02218,1.07802,0.0101845,0.796903,0.000498,4222.5,4238
2,57,0.042471,1.00692,1.06439,0.0095145,0.788802,0.0005095,4185,4188
2,58,0.0519495,1.04654,1.10463,0.0098875,0.822453,0.000672,4313.5,4314
2,59,0.0450195,1.02345,1.08472,0.009989,0.79898,0.0005205,4237,4243
2,60,0.043632,0.944681,1.02996,0.0108055,0.783092,0.0003695,4104,4109
2,61,0.0465045,0.965812,1.04508,0.010564,0.796081,0.0006355,4164,4167
2,62,0.0434045,0.94658,1.02645,0.010787,0.787372,0.0006305,4106,4138
2,63,0.04211,0.954247,1.04243,0.0101925,0.775457,0.0006795,4113.5,4118
2,64,0.045704,0.961383,1.04349,0.0101115,0.790594,0.000632,4148,4150
2,65,0.0461645,0.952203,1.04114,0.009923,0.785979,0.000489,4128,4135
2,66,0.048254,0.973975,1.05983,0.0096385,0.797685,0.0005745,4185,4197
2,67,0.0416825,0.936957,1.02676,0.009622,0.766768,0.000483,4071.5,4101
2,68,0.043012,0.949494,1.03953,0.0106265,0.776082,0.000527,4113.5,4121
2,69,0.0440945,0.940625,1.02003,0.009211,0.774833,0.000536,4074,4089
2,70,0.045604,0.95863,1.05217,0.011485,0.78343,0.000482,4151.5,4161
2,71,0.0463775,0.952554,1.03437,0.009922,0.781858,0.0005815,4117.5,4125
2,72,0.0421835,0.943006,1.01905,0.009525,0.769745,0.000504,4075,4083
2,73,0.047443,0.964603,1.04895,0.0107545,0.790925,0.0004555,4163.5,4166
2,74,0.043474,0.937567,1.03092,0.0100145,0.771883,0.000516,4080.5,4111
2,75,0.045064,0.953959,1.03912,0.010549,0.780134,0.000558,4121.5,4129
2,76,0.0434535,0.949879,1.02913,0.009901,0.772798,0.000651,4096.5,4107
2,77,0.0428165,0.947029,1.02513,0.0118825,0.77205,0.0004965,4088,4100
2,78,0.044821,0.94618,1.03089,0.009878,0.783045,0.0005515,4106.5,4126
2,79,0.0417215,0.942022,1.04416,0.010404,0.769612,0.0004215,4096,4107
2,80,0.046547,0.964732,1.04874,0.010725,0.788323,0.000473,4157,4175
2,81,0.048964,0.968881,1.05478,0.010629,0.792403,0.000411,4181.5,4186
2,82,0.0436075,0.947295,1.03393,0.0101145,0.774313,0.0006495,4105,4121
2,83,0.045692,0.952443,1.03515,0.011394,0.784687,0.000517,4133,4145
2,84,0.041764,0.939491,1.02591,0.009068,0.768832,0.000726,4078,4087
2,85,0.045729,0.954475,1.04063,0.010916,0.785857,0.000532,4131.5,4148
2,86,0.0441495,0.949349,1.02896,0.0095635,0.777321,0.0004825,4098.5,4101
2,87,0.045443,0.952925,1.03746,0.0107545,0.784806,0.000379,4127.5,4131
2,88,0.045111,0.949253,1.0379,0.0094645,0.7848,0.0005285,4122,4126
2,89,0.046459,0.968252,1.04551,0.009853,0.789825,0.000447,4166,4179
2,90,0.046473,0.958318,1.03892,0.0098915,0.782435,0.0004395,4125.5,4152
2,91,0.0448375,0.948522,1.03319,0.0104985,0.780726,0.000538,4111,4127
2,92,0.0434115,0.95225,1.04007,0.0106335,0.778857,0.0006945,4118.5,4129
2,93,0.0443665,0.944724,1.03333,0.0097835,0.78431,0.0004995,4109.5,4117
2,94,0.044987,0.948802,1.03112,0.0099635,0.78018,0.0006195,4109,4119
2,95,0.047014,0.970136,1.05059,0.0101495,0.793311,0.000566,4171,4173
2,96,0.0433585,0.933049,1.01701,0.010048,0.773266,0.0004685,4072,4074
2,97,0.048563,0.967036,1.05108,0.0092635,0.792398,0.001134,4172,4187
2,98,0.04352,0.957049,1.05121,0.010177,0.782721,0.0005055,4135.5,4148
2,99,0.043176,0.942264,1.024,0.0108195,0.773471,0.000406,4081,4088
2,100,0.046862,0.963815,1.05566,0.011708,0.794096,0.0006865,4174,4188
3,0,0.206078,1.04441,1.08052,0.421016,1.05787,0.000307333,4690.33,4745
3,1,0.209885,1.08005,1.11622,0.428722,1.09621,0.000496667,4815,4860
3,2,0.191172,1.00224,1.04265,0.012295,0.981194,0.000557,4112,4125
3,3,0.190967,0.995516,1.02679,0.014324,0.97567,0.000392,4078.33,4107
3,4,0.1892,0.987683,1.02615,0.00950633,0.975692,0.000299333,4063,4082
3,5,0.187701,0.986582,1.03936,0.0162297,0.968579,0.000320667,4075.67,4097
3,6,0.190326,0.995527,1.03042,0.00888,0.985434,0.000378333,4083.67,4088
3,7,0.186927,0.982635,1.02082,0.009295,0.97398,0.000433667,4048.33,4064
3,8,0.18994,0.986295,1.02197,0.00935767,0.975284,0.000256,4057.33,4083
3,9,0.189304,0.985799,1.02509,0.00903733,0.976767,0.000460333,4058.33,4064
3,10,0.190707,0.990211,1.02795,0.00912267,0.977776,0.000267333,4071,4085
3,11,0.189434,0.982803,1.01827,0.00859667,0.979287,0.000402333,4050,4066
3,12,0.188336,0.983105,1.01905,0.00945133,0.970066,0.000298667,4041.33,4075
3,13,0.183255,0.980845,1.0189,0.00885933,0.964158,0.000356333,4032.33,4048
3,14,0.18809,0.989064,1.02564,0.009326,0.972884,0.000332,4059,4085
3,15,0.184929,0.980682,1.01616,0.009615,0.966312,0.000438667,4032,4039
3,16,0.198293,1.00859,1.04097,0.00926933,1.03988,0.000327,4170.33,4191
3,17,0.187781,0.995976,1.04018,0.00946333,0.980718,0.000329,4093.67,4106
3,18,0.192068,0.994455,1.03184,0.00930333,0.986962,0.000430667,4090.33,4095
3,19,0.205414,1.01269,1.04567,0.00994,1.04099,0.000465,4189,4198
3,20,0.185814,0.976128,1.01308,0.00930267,0.966039,0.000378333,4025.33,4042
3,21,0.188823,0.992499,1.02497,0.00900133,0.98169,0.000494,4071.33,4084
3,22,0.187586,0.988436,1.02241,0.009683,0.971409,0.000351333,4056.33,4062
3,23,0.18749,0.97979,1.01777,0.00924633,0.97437,0.000432333,4038,4066
3,24,0.185477,0.983957,1.02056,0.009526,0.97396,0.000408667,4047.67,4069
3,25,0.187301,0.992126,1.02787,0.00886167,0.975922,0.000364,4067.67,4081
3,26,0.190644,0.993101,1.03001,0.00929233,0.980887,0.000367667,4081,4111
3,27,0.18815,0.986337,1.01943,0.00925267,0.971717,0.000327667,4047.67,4062
3,28,0.189509,0.983382,1.01862,0.00967067,0.977731,0.000451667,4053.33,4061
3,29,0.188377,0.984533,1.02232,0.009025,0.975718,0.000404,4052,4083
3,30,0.184285,0.980815,1.01548,0.009181,0.965708,0.000390333,4036.67,4055
3,31,0.188372,0.984112,1.0225,0.00953133,0.977094,0.000339333,4054.67,4079
3,32,0.186898,0.984163,1.02258,0.008982,0.970907,0.000376333,4050,4068
3,33,0.188949,1.00701,1.04372,0.00973367,0.994252,0.000429,4122.67,4149
3,34,0.186106,0.985844,1.02135,0.00831867,0.975226,0.000278,4050.67,4079
3,35,0.18711,0.983678,1.02132,0.008812,0.976774,0.000363333,4052.33,4060
3,36,0.188198,0.980944,1.01714,0.00858267,0.971548,0.000408667,4039.67,4064
3,37,0.215495,1.05315,1.07958,0.00884267,1.07212,0.000390667,4301.67,4320
3,38,0.186908,0.985186,1.01767,0.008867,0.971374,0.000391667,4044,4066
3,39,0.1876,0.992237,1.03537,0.0106787,0.979623,0.000381333,4082.67,4099
3,40,0.189631,0.98935,1.02246,0.00895633,0.977846,0.000395333,4060,4069
3,41,0.192107,1.00199,1.04085,0.00925433,0.991081,0.000415,4113.33,4132
3,42,0.184271,0.981856,1.01953,0.00957533,0.962467,0.000640333,4035,4060
3,43,0.185859,0.9888,1.0251,0.00997567,0.970594,0.000338667,4057.67,4079
3,44,0.182869,0.976816,1.01409,0.008803,0.963213,0.000365,4021,4042
3,45,0.186304,0.981714,1.01782,0.00946067,0.97561,0.000446333,4048,4059
3,46,0.190194,0.984738,1.01914,0.00884133,0.975356,0.000355667,4047.67,4069
3,47,0.188032,0.990758,1.02143,0.00959367,0.974302,0.000351,4056.33,4062
3,48,0.186578,0.986968,1.02397,0.00908667,0.976492,0.000302,4055,4063
3,49,0.190143,0.997794,1.03592,0.00896767,0.982845,0.000349667,4094.67,4102
3,50,0.187807,0.984785,1.01884,0.00854533,0.970408,0.000446667,4044.33,4066
3,51,0.190141,0.993031,1.03397,0.00993733,0.983549,0.000371667,4086.67,4117
3,52,0.181686,0.982373,1.02365,0.010085,0.960275,0.000394,4034.67,4050
3,53,0.189685,0.98884,1.0269,0.009574,0.982023,0.000573667,4072,4095
